algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,171d7ea3,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,284.88,80.69,,,24207,24207,171d7ea3,2,0.0033333333333333335,penalized,5,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,450.5733333333333,80.69,,,24207,24207,171d7ea3,2,0.0033333333333333335,penalized,10,24207,24207,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,476.99666666666667,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,15,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,297.1933333333333,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,20,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,283.42333333333335,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,25,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,164.51,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,30,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,291.3833333333333,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,35,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,520.6966666666667,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,40,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,361.46666666666664,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,45,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,371.57666666666665,192.92333333333335,,,24342,24342,171d7ea3,2,0.01,penalized,50,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,474.17,241.26333333333332,,,24342,24342,171d7ea3,2,0.01,penalized,55,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,308.3,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,60,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,431.15,316.75,,,24342,24342,171d7ea3,2,0.013333333333333334,penalized,65,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
ga,408.9433333333333,161.83,,,24342,24342,171d7ea3,2,0.006666666666666667,penalized,70,24342,24342,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A089_rtr0.35_pm0.20_prs0.20_init0.2_pc0.9,0,tournament,0.25,5
