algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,c61aaf36,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,1428.67,244.7,,,25193,25193,c61aaf36,2,0.01,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2823.116666666667,311.56666666666666,,,25193,25193,c61aaf36,2,0.013333333333333334,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2525.52,251.01333333333332,,,25193,25193,c61aaf36,2,0.01,penalized,15,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2210.39,396.07666666666665,,,25193,25193,c61aaf36,2,0.016666666666666666,penalized,20,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,3833.4866666666667,233.94,,,25493,25493,c61aaf36,2,0.01,penalized,25,25493,25493,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2312.3933333333334,249.96666666666667,,,25493,25493,c61aaf36,2,0.01,penalized,30,25493,25493,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2083.883333333333,235.80666666666667,,,25493,25493,c61aaf36,2,0.01,penalized,35,25493,25493,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2677.846666666667,334.70666666666665,,,25493,25493,c61aaf36,2,0.013333333333333334,penalized,40,25493,25493,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2195.34,258.04,,,26064,26064,c61aaf36,2,0.01,penalized,45,26064,26064,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A090_rtr0.35_pm0.20_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
