algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,f99936f9,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,321.4433333333333,169.44,,,25425,25425,f99936f9,2,0.006666666666666667,penalized,5,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,366.83,169.44,,,25425,25425,f99936f9,2,0.006666666666666667,penalized,10,25425,25425,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,299.39,170.58333333333334,,,25750,25750,f99936f9,2,0.006666666666666667,penalized,15,25750,25750,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,386.18666666666667,257.81666666666666,,,26010,26010,f99936f9,2,0.01,penalized,20,26010,26010,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,295.3233333333333,172.53333333333333,,,26010,26010,f99936f9,2,0.006666666666666667,penalized,25,26010,26010,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,327.88666666666666,172.53333333333333,,,26010,26010,f99936f9,2,0.006666666666666667,penalized,30,26010,26010,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,377.28,174.02666666666667,,,26198,26198,f99936f9,2,0.006666666666666667,penalized,35,26198,26198,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,350.57,174.02666666666667,,,26198,26198,f99936f9,2,0.006666666666666667,penalized,40,26198,26198,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,314.08,174.02666666666667,,,26198,26198,f99936f9,2,0.006666666666666667,penalized,45,26198,26198,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,316.7966666666667,174.02666666666667,,,26198,26198,f99936f9,2,0.006666666666666667,penalized,50,26198,26198,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,225.62666666666667,174.02666666666667,,,26198,26198,f99936f9,2,0.006666666666666667,penalized,55,26198,26198,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,354.3833333333333,174.02666666666667,,,26198,26198,f99936f9,2,0.006666666666666667,penalized,60,26198,26198,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,380.3466666666667,174.65333333333334,,,26198,26198,f99936f9,2,0.006666666666666667,penalized,65,26198,26198,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,407.97,174.65333333333334,,,26198,26198,f99936f9,2,0.006666666666666667,penalized,70,26198,26198,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
ga,426.13,255.29,,,26498,26498,f99936f9,2,0.01,penalized,75,26498,26498,300,1.0,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.35,strict,A091_rtr0.35_pm0.20_prs0.20_init1.0_pc0.9,0,tournament,0.25,5
