algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,9c309a52,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1284.5866666666666,149.88333333333333,,,24896,24896,9c309a52,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1436.4966666666667,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,10,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1720.24,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,15,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1326.1133333333332,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,20,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1755.1733333333334,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,25,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1212.5133333333333,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,30,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1808.55,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,35,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1566.6266666666668,145.22666666666666,,,24896,24896,9c309a52,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1378.09,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,45,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1089.3233333333333,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,50,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1395.3333333333333,119.27666666666667,,,24896,24896,9c309a52,2,0.006666666666666667,penalized,55,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1203.8966666666668,82.98666666666666,,,24896,24896,9c309a52,2,0.0033333333333333335,penalized,60,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A092_rtr0.35_pm0.20_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
