algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,c39daab3,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1575.1,164.99,,,25193,25193,c39daab3,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1647.4733333333334,166.46,,,25193,25193,c39daab3,2,0.006666666666666667,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1563.3466666666666,207.38,,,25193,25193,c39daab3,2,0.01,penalized,15,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1299.0266666666666,167.69666666666666,,,25193,25193,c39daab3,2,0.006666666666666667,penalized,20,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1118.3733333333332,167.69666666666666,,,25193,25193,c39daab3,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1649.1433333333334,201.22333333333333,,,25193,25193,c39daab3,2,0.01,penalized,30,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1399.8,251.67333333333335,,,25193,25193,c39daab3,2,0.01,penalized,35,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1357.05,205.03333333333333,,,25193,25193,c39daab3,2,0.01,penalized,40,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1475.87,251.46333333333334,,,25193,25193,c39daab3,2,0.01,penalized,45,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1530.68,209.13666666666666,,,25193,25193,c39daab3,2,0.01,penalized,50,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1169.6933333333334,322.37666666666667,,,25193,25193,c39daab3,2,0.016666666666666666,penalized,55,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1639.6266666666668,276.9866666666667,,,25193,25193,c39daab3,2,0.013333333333333334,penalized,60,25193,25193,300,1.0,mixed,0.15,0.7,0.2,0.05,0.4,0.1,A,300,0.7,0.35,strict,A094_rtr0.35_pm0.20_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
