algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,51edd09c,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,2848.23,1646.4533333333334,,,25352,25352,51edd09c,2,0.07,penalized,5,25352,25352,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,16907.706666666665,13116.03,,,26585,26585,51edd09c,2,0.5166666666666667,penalized,10,26585,26585,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,19829.913333333334,13082.963333333333,,,26861,26861,51edd09c,2,0.49333333333333335,penalized,15,26861,26861,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,18807.446666666667,12425.04,,,27711,27711,51edd09c,2,0.46,penalized,20,27711,27711,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,21909.74,17983.02,,,27986,27986,51edd09c,2,0.65,penalized,25,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,22533.843333333334,17998.696666666667,,,27986,27986,51edd09c,2,0.6433333333333333,penalized,30,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,21979.743333333332,17994.34,,,27986,27986,51edd09c,2,0.6433333333333333,penalized,35,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,22832.346666666668,19372.416666666668,,,27986,27986,51edd09c,2,0.6933333333333334,penalized,40,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,22191.126666666667,18657.333333333332,,,27986,27986,51edd09c,2,0.6666666666666666,penalized,45,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,22556.583333333332,18843.906666666666,,,27986,27986,51edd09c,2,0.6733333333333333,penalized,50,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,22423.496666666666,18470.76,,,27986,27986,51edd09c,2,0.66,penalized,55,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,23166.626666666667,19776.773333333334,,,27986,27986,51edd09c,2,0.7066666666666667,penalized,60,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,22769.656666666666,18919.726666666666,,,27986,27986,51edd09c,2,0.6766666666666666,penalized,65,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,22336.56,18470.76,,,27986,27986,51edd09c,2,0.66,penalized,70,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,21675.803333333333,17155.93,,,27986,27986,51edd09c,2,0.6133333333333333,penalized,75,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,21858.77,17899.256666666668,,,27986,27986,51edd09c,2,0.64,penalized,80,27986,27986,300,0.2,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A096_rtr0.35_pm0.35_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
