algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,abf641d8,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,500.4633333333333,500.4633333333333,,,24207,24207,abf641d8,2,0.023333333333333334,penalized,5,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,477.72333333333336,322.76,,,24207,24207,abf641d8,2,0.013333333333333334,penalized,10,24207,24207,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,515.1,248.82,,,24882,24882,abf641d8,2,0.01,penalized,15,24882,24882,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,367.3066666666667,248.82,,,24882,24882,abf641d8,2,0.01,penalized,20,24882,24882,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,526.32,497.64,,,24882,24882,abf641d8,2,0.02,penalized,25,24882,24882,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,287.14666666666665,249.5,,,24950,24950,abf641d8,2,0.01,penalized,30,24950,24950,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,315.11,168.15,,,25360,25360,abf641d8,2,0.006666666666666667,penalized,35,25360,25360,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,441.12666666666667,256.58666666666664,,,25808,25808,abf641d8,2,0.01,penalized,40,25808,25808,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,681.8433333333334,602.1866666666666,,,25808,25808,abf641d8,2,0.023333333333333334,penalized,45,25808,25808,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
ga,2594.9666666666667,1573.6666666666667,,,26572,26572,abf641d8,2,0.06,penalized,50,26572,26572,300,0.2,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A097_rtr0.35_pm0.35_prs0.00_init0.2_pc0.9,0,tournament,0.25,5
