algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,9de0dfab,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,3283.516666666667,2038.59,,,24137,24137,9de0dfab,2,0.09333333333333334,penalized,5,24137,24137,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,8030.3966666666665,4703.293333333333,,,25953,25953,9de0dfab,2,0.19333333333333333,penalized,10,25953,25953,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,18016.996666666666,11929.226666666667,,,26779,26779,9de0dfab,2,0.4633333333333333,penalized,15,26779,26779,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,18532.546666666665,11717.96,,,27503,27503,9de0dfab,2,0.44,penalized,20,27503,27503,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,18347.88,13003.09,,,27894,27894,9de0dfab,2,0.4766666666666667,penalized,25,27894,27894,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,20167.44,14325.63,,,28169,28169,9de0dfab,2,0.5166666666666667,penalized,30,28169,28169,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22652.266666666666,18082.21,,,28507,28507,9de0dfab,2,0.64,penalized,35,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22236.66,18129.47,,,28507,28507,9de0dfab,2,0.6366666666666667,penalized,40,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22766.246666666666,18046.873333333333,,,28507,28507,9de0dfab,2,0.6333333333333333,penalized,45,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23892.15,19928.38,,,28507,28507,9de0dfab,2,0.7,penalized,50,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22894.133333333335,18979.966666666667,,,28507,28507,9de0dfab,2,0.6666666666666666,penalized,55,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22960.896666666667,18807.496666666666,,,28507,28507,9de0dfab,2,0.66,penalized,60,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23858.3,19373.873333333333,,,28507,28507,9de0dfab,2,0.68,penalized,65,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23617.93666666667,19636.24,,,28507,28507,9de0dfab,2,0.69,penalized,70,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,23234.946666666667,18873.25,,,28507,28507,9de0dfab,2,0.6633333333333333,penalized,75,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22415.446666666667,18092.816666666666,,,28507,28507,9de0dfab,2,0.6366666666666667,penalized,80,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22898.403333333332,18225.666666666668,,,28507,28507,9de0dfab,2,0.64,penalized,85,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
ga,22990.616666666665,19144.25,,,28507,28507,9de0dfab,2,0.6733333333333333,penalized,90,28507,28507,300,1.0,mixed,0.15,0.7,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A098_rtr0.35_pm0.35_prs0.00_init1.0_pc0.7,2,tournament,0.25,5
