algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,d373269c,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,165.5,165.5,,,25193,25193,d373269c,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,520.05,341.58,,,26111,26111,d373269c,2,0.013333333333333334,penalized,10,26111,26111,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,516.6133333333333,516.6133333333333,,,26111,26111,d373269c,2,0.02,penalized,15,26111,26111,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,748.6633333333333,354.2133333333333,,,26572,26572,d373269c,2,0.013333333333333334,penalized,20,26572,26572,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,470.46,354.74333333333334,,,26699,26699,d373269c,2,0.013333333333333334,penalized,25,26699,26699,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,763.3133333333334,623.1633333333333,,,26707,26707,d373269c,2,0.023333333333333334,penalized,30,26707,26707,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,478.6166666666667,356.12,,,26715,26715,d373269c,2,0.013333333333333334,penalized,35,26715,26715,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,640.4233333333333,445.25,,,26715,26715,d373269c,2,0.016666666666666666,penalized,40,26715,26715,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,2246.943333333333,1058.9166666666667,,,27015,27015,d373269c,2,0.04,penalized,45,27015,27015,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,1974.8566666666666,1136.7933333333333,,,27452,27452,d373269c,2,0.043333333333333335,penalized,50,27452,27452,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,12068.48,6663.52,,,27912,27912,d373269c,2,0.25333333333333335,penalized,55,27912,27912,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,22004.61,16865.543333333335,,,28668,28668,d373269c,2,0.6033333333333334,penalized,60,28668,28668,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23174.283333333333,18140.993333333332,,,28668,28668,d373269c,2,0.6333333333333333,penalized,65,28668,28668,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23060.453333333335,18104.456666666665,,,28668,28668,d373269c,2,0.6333333333333333,penalized,70,28668,28668,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23489.556666666667,18434.13,,,28668,28668,d373269c,2,0.6433333333333333,penalized,75,28668,28668,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,24225.923333333332,19685.36,,,28668,28668,d373269c,2,0.6866666666666666,penalized,80,28668,28668,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23113.08,17961.656666666666,,,28668,28668,d373269c,2,0.6266666666666667,penalized,85,28668,28668,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,22695.023333333334,16901.96,,,29006,29006,d373269c,2,0.59,penalized,90,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,24275.29,18801.263333333332,,,29006,29006,d373269c,2,0.65,penalized,95,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,24487.83,20153.516666666666,,,29006,29006,d373269c,2,0.6966666666666667,penalized,100,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,22671.346666666668,17234.13,,,29006,29006,d373269c,2,0.5966666666666667,penalized,105,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23798.883333333335,18563.84,,,29006,29006,d373269c,2,0.64,penalized,110,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23061.426666666666,18073.143333333333,,,29006,29006,d373269c,2,0.6233333333333333,penalized,115,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23376.886666666665,17762.333333333332,,,29006,29006,d373269c,2,0.6166666666666667,penalized,120,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,24168.023333333334,19362.053333333333,,,29006,29006,d373269c,2,0.67,penalized,125,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23337.13,18065.233333333334,,,29006,29006,d373269c,2,0.6233333333333333,penalized,130,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23081.213333333333,17934.62,,,29006,29006,d373269c,2,0.62,penalized,135,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,22532.45,17255.053333333333,,,29006,29006,d373269c,2,0.5966666666666667,penalized,140,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
ga,23637.02666666667,18523.246666666666,,,29006,29006,d373269c,2,0.64,penalized,145,29006,29006,300,1.0,mixed,0.15,0.9,0.35,0.05,0.0,0.1,A,300,0.7,0.35,strict,A099_rtr0.35_pm0.35_prs0.00_init1.0_pc0.9,1,tournament,0.25,5
