algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,c9610205,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,983.16,158.09333333333333,,,23714,23714,c9610205,2,0.006666666666666667,penalized,5,23714,23714,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1637.7733333333333,158.09333333333333,,,23714,23714,c9610205,2,0.006666666666666667,penalized,10,23714,23714,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2126.38,158.09333333333333,,,23714,23714,c9610205,2,0.006666666666666667,penalized,15,23714,23714,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1559.8566666666666,159.01,,,23989,23989,c9610205,2,0.006666666666666667,penalized,20,23989,23989,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1386.6533333333334,236.77666666666667,,,23989,23989,c9610205,2,0.01,penalized,25,23989,23989,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1680.0966666666666,161.64666666666668,,,24437,24437,c9610205,2,0.006666666666666667,penalized,30,24437,24437,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1541.69,257.89,,,24437,24437,c9610205,2,0.013333333333333334,penalized,35,24437,24437,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1660.4233333333334,161.64666666666668,,,24437,24437,c9610205,2,0.006666666666666667,penalized,40,24437,24437,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1493.8366666666666,161.64666666666668,,,24437,24437,c9610205,2,0.006666666666666667,penalized,45,24437,24437,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1265.73,200.44666666666666,,,24437,24437,c9610205,2,0.01,penalized,50,24437,24437,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1890.19,244.37,,,24437,24437,c9610205,2,0.01,penalized,55,24437,24437,300,0.2,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A100_rtr0.35_pm0.35_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
