algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,7f4a8343,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,266.02,149.88333333333333,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,174.02,82.98666666666666,,,24896,24896,7f4a8343,2,0.0033333333333333335,penalized,10,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,427.3566666666667,163.54333333333332,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,215.06666666666666,163.54333333333332,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,296.48333333333335,163.54333333333332,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,255.76,163.54333333333332,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,475.7633333333333,163.54333333333332,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,35,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,393.3433333333333,163.54333333333332,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,293.75,163.54333333333332,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,45,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,310.26,163.54333333333332,,,24896,24896,7f4a8343,2,0.006666666666666667,penalized,50,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,594.4033333333333,248.96,,,24896,24896,7f4a8343,2,0.01,penalized,55,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,378.82666666666665,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,60,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,325.86333333333334,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,65,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,394.4633333333333,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,70,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,249.81333333333333,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,75,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,430.96666666666664,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,80,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,571.8266666666667,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,85,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,488.37333333333333,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,90,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,299.5133333333333,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,95,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,201.13333333333333,166.55,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,100,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,349.94666666666666,167.12666666666667,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,105,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,274.07,249.69,,,25069,25069,7f4a8343,2,0.01,penalized,110,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,642.6833333333333,167.12666666666667,,,25069,25069,7f4a8343,2,0.006666666666666667,penalized,115,25069,25069,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
