algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,b0e9781e,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2402.36,164.99,,,25193,25193,b0e9781e,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2670.5433333333335,304.49333333333334,,,25193,25193,b0e9781e,2,0.013333333333333334,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2886.47,239.95333333333335,,,25318,25318,b0e9781e,2,0.01,penalized,15,25318,25318,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2591.5533333333333,239.1,,,25318,25318,b0e9781e,2,0.01,penalized,20,25318,25318,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2574.2233333333334,231.64333333333335,,,25318,25318,b0e9781e,2,0.01,penalized,25,25318,25318,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2179.1566666666668,168.78666666666666,,,25318,25318,b0e9781e,2,0.006666666666666667,penalized,30,25318,25318,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2178.02,169.78666666666666,,,25618,25618,b0e9781e,2,0.006666666666666667,penalized,35,25618,25618,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2095.7233333333334,414.03333333333336,,,25944,25944,b0e9781e,2,0.016666666666666666,penalized,40,25944,25944,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,1588.3766666666668,172.01666666666668,,,25944,25944,b0e9781e,2,0.006666666666666667,penalized,45,25944,25944,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,2200.96,172.01666666666668,,,25944,25944,b0e9781e,2,0.006666666666666667,penalized,50,25944,25944,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,1640.17,255.84666666666666,,,25944,25944,b0e9781e,2,0.01,penalized,55,25944,25944,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
ga,1869.5666666666666,172.01666666666668,,,25944,25944,b0e9781e,2,0.006666666666666667,penalized,60,25944,25944,300,1.0,mixed,0.15,0.7,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A102_rtr0.35_pm0.35_prs0.20_init1.0_pc0.7,1,tournament,0.25,5
