algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,9f6dffb7,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,357.69,164.99,,,25193,25193,9f6dffb7,2,0.006666666666666667,penalized,5,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,311.2366666666667,164.99,,,25193,25193,9f6dffb7,2,0.006666666666666667,penalized,10,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,455.12666666666667,247.89,,,25193,25193,9f6dffb7,2,0.01,penalized,15,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,231.16666666666666,166.87666666666667,,,25193,25193,9f6dffb7,2,0.006666666666666667,penalized,20,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,299.14666666666665,166.87666666666667,,,25193,25193,9f6dffb7,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,249.58,166.87666666666667,,,25193,25193,9f6dffb7,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,285.19,166.87666666666667,,,25193,25193,9f6dffb7,2,0.006666666666666667,penalized,35,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,391.68,167.95333333333335,,,25193,25193,9f6dffb7,2,0.006666666666666667,penalized,40,25193,25193,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
ga,388.8066666666667,168.87,,,25468,25468,9f6dffb7,2,0.006666666666666667,penalized,45,25468,25468,300,1.0,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A103_rtr0.35_pm0.35_prs0.20_init1.0_pc0.9,1,tournament,0.25,5
