algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,6cb0408c,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1177.5733333333333,149.88333333333333,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1206.18,159.83666666666667,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1210.55,159.83666666666667,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1450.72,159.83666666666667,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1363.0333333333333,160.61333333333334,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1360.1833333333334,160.61333333333334,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1443.7933333333333,160.61333333333334,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,35,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1345.1133333333332,160.61333333333334,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1583.5966666666666,160.61333333333334,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,45,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1350.07,160.61333333333334,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,50,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1195.8466666666666,160.61333333333334,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,55,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
ga,1400.9266666666667,160.61333333333334,,,24896,24896,6cb0408c,2,0.006666666666666667,penalized,60,24896,24896,300,0.2,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A104_rtr0.35_pm0.35_prs0.40_init0.2_pc0.7,1,tournament,0.25,5
