algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,a805ad4a,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,359.5733333333333,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,394.16,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,366.74666666666667,202.24,,,24896,24896,a805ad4a,2,0.01,penalized,15,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,359.3566666666667,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,521.1966666666667,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,384.92333333333335,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,484.57666666666665,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,35,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,257.5966666666667,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,420.29333333333335,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,45,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,293.77666666666664,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,50,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,384.74666666666667,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,55,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,403.0366666666667,165.74666666666667,,,24896,24896,a805ad4a,2,0.006666666666666667,penalized,60,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A105_rtr0.35_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
