algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4202.8533333333335,3719.9266666666667,,,25193,25193,8c2fdb8b,2,0.2,penalized,0,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1545.6833333333334,237.13666666666666,,,25193,25193,8c2fdb8b,2,0.01,penalized,5,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1559.05,164.99,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,10,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1476.8766666666668,250.6,,,25193,25193,8c2fdb8b,2,0.013333333333333334,penalized,15,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1604.4433333333334,164.99,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,20,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1669.4266666666667,164.99,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,25,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1690.0566666666666,164.99,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,30,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1665.1333333333334,166.65666666666667,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,35,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1501.1266666666668,209.31333333333333,,,25193,25193,8c2fdb8b,2,0.01,penalized,40,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1725.6533333333334,166.65666666666667,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,45,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1370.43,166.65666666666667,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,50,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1467.3333333333333,166.65666666666667,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,55,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
ga,1662.0133333333333,166.65666666666667,,,25193,25193,8c2fdb8b,2,0.006666666666666667,penalized,60,25193,25193,300,1.0,mixed,0.15,0.7,0.35,0.05,0.4,0.1,A,300,0.7,0.35,strict,A106_rtr0.35_pm0.35_prs0.40_init1.0_pc0.7,1,tournament,0.25,5
