algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,1115.5333333333333,992.6333333333333,,,24207,24207,e5c7a79c,2,0.056666666666666664,penalized,0,24207,24207,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,3067.4866666666667,2703.0866666666666,,,25057,25057,e5c7a79c,2,0.11666666666666667,penalized,5,25057,25057,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,22629.256666666668,19624.68666666667,,,26383,26383,e5c7a79c,2,0.7666666666666667,penalized,10,26383,26383,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24212.076666666668,21951.746666666666,,,27122,27122,e5c7a79c,2,0.82,penalized,15,27122,27122,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,24706.13,22143.06,,,27870,27870,e5c7a79c,2,0.81,penalized,20,27870,27870,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26353.416666666668,25195.5,,,27995,27995,e5c7a79c,2,0.9,penalized,25,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26079.916666666668,24915.55,,,27995,27995,e5c7a79c,2,0.89,penalized,30,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26001.94,24915.55,,,27995,27995,e5c7a79c,2,0.89,penalized,35,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26399.173333333332,25382.133333333335,,,27995,27995,e5c7a79c,2,0.9066666666666666,penalized,40,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26127.97,25184.653333333332,,,27995,27995,e5c7a79c,2,0.9,penalized,45,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26792.12,26009.293333333335,,,27995,27995,e5c7a79c,2,0.93,penalized,50,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26443.56,25755.4,,,27995,27995,e5c7a79c,2,0.92,penalized,55,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26809.3,26035.35,,,27995,27995,e5c7a79c,2,0.93,penalized,60,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,25964.506666666668,25008.866666666665,,,27995,27995,e5c7a79c,2,0.8933333333333333,penalized,65,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26448.833333333332,25382.133333333335,,,27995,27995,e5c7a79c,2,0.9066666666666666,penalized,70,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26002.876666666667,24891.23,,,27995,27995,e5c7a79c,2,0.89,penalized,75,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
ga,26815.113333333335,26221.983333333334,,,27995,27995,e5c7a79c,2,0.9366666666666666,penalized,80,27995,27995,300,0.2,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A108_rtr0.50_pm0.10_prs0.00_init0.2_pc0.7,0,tournament,0.25,5
