algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,2271f21d,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,594.44,504.16,,,25234,25234,2271f21d,2,0.02,penalized,5,25234,25234,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,1160.2033333333334,1022.2,,,25642,25642,2271f21d,2,0.04,penalized,10,25642,25642,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,12694.736666666666,11429.62,,,26367,26367,2271f21d,2,0.44333333333333336,penalized,15,26367,26367,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24768.756666666668,23501.67,,,27474,27474,2271f21d,2,0.8766666666666667,penalized,20,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25061.383333333335,23261.32,,,27474,27474,2271f21d,2,0.8466666666666667,penalized,25,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25092.05,23536.06,,,27474,27474,2271f21d,2,0.8566666666666667,penalized,30,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,26077.73,25176.533333333333,,,27474,27474,2271f21d,2,0.9166666666666666,penalized,35,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25333.896666666667,24543.44,,,27474,27474,2271f21d,2,0.8933333333333333,penalized,40,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25594.77,24726.6,,,27474,27474,2271f21d,2,0.9,penalized,45,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25917.363333333335,25001.34,,,27474,27474,2271f21d,2,0.91,penalized,50,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,26136.226666666666,25276.08,,,27474,27474,2271f21d,2,0.92,penalized,55,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24864.416666666668,23810.8,,,27474,27474,2271f21d,2,0.8666666666666667,penalized,60,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25983.116666666665,25092.92,,,27474,27474,2271f21d,2,0.9133333333333333,penalized,65,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25237.496666666666,24085.54,,,27474,27474,2271f21d,2,0.8766666666666667,penalized,70,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25485.383333333335,24635.02,,,27474,27474,2271f21d,2,0.8966666666666666,penalized,75,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,25483.653333333332,24360.28,,,27474,27474,2271f21d,2,0.8866666666666667,penalized,80,27474,27474,300,0.2,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A109_rtr0.50_pm0.10_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
