algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,1a34c536,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,8305.893333333333,7733.73,,,26748,26748,1a34c536,2,0.30666666666666664,penalized,5,26748,26748,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,22734.096666666668,18131.3,,,28043,28043,1a34c536,2,0.6666666666666666,penalized,10,28043,28043,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,21742.8,16409.056666666667,,,28776,28776,1a34c536,2,0.5833333333333334,penalized,15,28776,28776,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,24723.056666666667,20682.173333333332,,,29244,29244,1a34c536,2,0.7166666666666667,penalized,20,29244,29244,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,26192.22,23489.743333333332,,,29369,29369,1a34c536,2,0.8,penalized,25,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27531.4,26138.41,,,29369,29369,1a34c536,2,0.89,penalized,30,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27189.376666666667,26040.513333333332,,,29369,29369,1a34c536,2,0.8866666666666667,penalized,35,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27615.323333333334,26627.893333333333,,,29369,29369,1a34c536,2,0.9066666666666666,penalized,40,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27593.673333333332,26529.996666666666,,,29369,29369,1a34c536,2,0.9033333333333333,penalized,45,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27927.543333333335,27215.273333333334,,,29369,29369,1a34c536,2,0.9266666666666666,penalized,50,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27467.486666666668,26432.1,,,29369,29369,1a34c536,2,0.9,penalized,55,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27382.16,26236.306666666667,,,29369,29369,1a34c536,2,0.8933333333333333,penalized,60,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,28067.863333333335,27215.273333333334,,,29369,29369,1a34c536,2,0.9266666666666666,penalized,65,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27681.246666666666,26823.68666666667,,,29369,29369,1a34c536,2,0.9133333333333333,penalized,70,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27544.156666666666,26529.996666666666,,,29369,29369,1a34c536,2,0.9033333333333333,penalized,75,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
ga,27816.53,26897.02,,,29369,29369,1a34c536,2,0.9166666666666666,penalized,80,29369,29369,300,1.0,mixed,0.15,0.7,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A110_rtr0.50_pm0.10_prs0.00_init1.0_pc0.7,0,tournament,0.25,5
