algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,6d3a3995,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,546.9966666666667,511.6933333333333,,,25690,25690,6d3a3995,2,0.02,penalized,5,25690,25690,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,1035.9033333333334,872.6366666666667,,,26690,26690,6d3a3995,2,0.03333333333333333,penalized,10,26690,26690,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,935.2466666666667,444.7,,,26825,26825,6d3a3995,2,0.016666666666666666,penalized,15,26825,26825,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,13505.096666666666,10960.826666666666,,,27593,27593,6d3a3995,2,0.4066666666666667,penalized,20,27593,27593,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25386.086666666666,23179.29,,,28514,28514,6d3a3995,2,0.82,penalized,25,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,25414.783333333333,22778.043333333335,,,28514,28514,6d3a3995,2,0.8,penalized,30,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26359.25,25083.173333333332,,,28514,28514,6d3a3995,2,0.88,penalized,35,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,27066.956666666665,25852.693333333333,,,28514,28514,6d3a3995,2,0.9066666666666666,penalized,40,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26262.856666666667,25186.22333333333,,,28514,28514,6d3a3995,2,0.8833333333333333,penalized,45,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26551.23,25280.126666666667,,,28514,28514,6d3a3995,2,0.8866666666666667,penalized,50,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26501.68666666667,25566.41,,,28514,28514,6d3a3995,2,0.8966666666666666,penalized,55,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26880.14,25756.503333333334,,,28514,28514,6d3a3995,2,0.9033333333333333,penalized,60,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26791.84,26037.07,,,28514,28514,6d3a3995,2,0.9133333333333333,penalized,65,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26568.163333333334,25662.6,,,28514,28514,6d3a3995,2,0.9,penalized,70,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26835.853333333333,25946.596666666668,,,28514,28514,6d3a3995,2,0.91,penalized,75,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
ga,26626.0,25851.55,,,28514,28514,6d3a3995,2,0.9066666666666666,penalized,80,28514,28514,300,1.0,mixed,0.15,0.9,0.1,0.05,0.0,0.1,A,300,0.7,0.5,strict,A111_rtr0.50_pm0.10_prs0.00_init1.0_pc0.9,0,tournament,0.25,5
