algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,ec41e61d,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1673.4,277.13666666666666,,,23714,23714,ec41e61d,2,0.013333333333333334,penalized,5,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2766.8533333333335,313.6933333333333,,,23714,23714,ec41e61d,2,0.013333333333333334,penalized,10,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1708.15,158.28333333333333,,,23771,23771,ec41e61d,2,0.006666666666666667,penalized,15,23771,23771,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2652.55,238.23,,,23927,23927,ec41e61d,2,0.01,penalized,20,23927,23927,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2283.58,197.70333333333335,,,23927,23927,ec41e61d,2,0.01,penalized,25,23927,23927,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,3461.0133333333333,159.51333333333332,,,23927,23927,ec41e61d,2,0.006666666666666667,penalized,30,23927,23927,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2617.5733333333333,159.51333333333332,,,23927,23927,ec41e61d,2,0.006666666666666667,penalized,35,23927,23927,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2401.58,238.35333333333332,,,23927,23927,ec41e61d,2,0.01,penalized,40,23927,23927,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2484.9166666666665,307.51,,,24270,24270,ec41e61d,2,0.013333333333333334,penalized,45,24270,24270,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,3585.76,469.2133333333333,,,24570,24570,ec41e61d,2,0.02,penalized,50,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,3462.65,162.8,,,24570,24570,ec41e61d,2,0.006666666666666667,penalized,55,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2667.653333333333,317.21666666666664,,,24570,24570,ec41e61d,2,0.013333333333333334,penalized,60,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2097.09,243.86666666666667,,,24570,24570,ec41e61d,2,0.01,penalized,65,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2404.2233333333334,234.72,,,24570,24570,ec41e61d,2,0.01,penalized,70,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2236.62,216.48666666666668,,,24570,24570,ec41e61d,2,0.01,penalized,75,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2485.81,227.74666666666667,,,24570,24570,ec41e61d,2,0.01,penalized,80,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,3113.6233333333334,163.8,,,24570,24570,ec41e61d,2,0.006666666666666667,penalized,85,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2263.9666666666667,163.8,,,24570,24570,ec41e61d,2,0.006666666666666667,penalized,90,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2970.7066666666665,442.4266666666667,,,24570,24570,ec41e61d,2,0.02,penalized,95,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2264.6066666666666,308.81,,,24570,24570,ec41e61d,2,0.013333333333333334,penalized,100,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1882.17,163.8,,,24570,24570,ec41e61d,2,0.006666666666666667,penalized,105,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2243.3033333333333,163.8,,,24570,24570,ec41e61d,2,0.006666666666666667,penalized,110,24570,24570,300,0.2,mixed,0.15,0.7,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A112_rtr0.50_pm0.10_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
