algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,2f24bae9,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,280.92,150.96666666666667,,,23714,23714,2f24bae9,2,0.006666666666666667,penalized,5,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,273.31333333333333,150.96666666666667,,,23714,23714,2f24bae9,2,0.006666666666666667,penalized,10,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,250.77,150.96666666666667,,,23714,23714,2f24bae9,2,0.006666666666666667,penalized,15,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,190.59666666666666,150.96666666666667,,,23714,23714,2f24bae9,2,0.006666666666666667,penalized,20,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,272.18666666666667,150.96666666666667,,,23714,23714,2f24bae9,2,0.006666666666666667,penalized,25,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,158.99666666666667,150.96666666666667,,,23714,23714,2f24bae9,2,0.006666666666666667,penalized,30,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,361.89666666666665,79.04666666666667,,,23714,23714,2f24bae9,2,0.0033333333333333335,penalized,35,23714,23714,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,523.24,240.42666666666668,,,24357,24357,2f24bae9,2,0.01,penalized,40,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,281.5933333333333,161.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,45,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,430.26,161.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,50,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,471.52666666666664,243.57,,,24357,24357,2f24bae9,2,0.01,penalized,55,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,513.83,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,60,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,359.82666666666665,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,65,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,274.91,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,70,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,364.6933333333333,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,75,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,433.76666666666665,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,80,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,205.49666666666667,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,85,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,273.6933333333333,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,90,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,201.46666666666667,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,95,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,235.95666666666668,162.38,,,24357,24357,2f24bae9,2,0.006666666666666667,penalized,100,24357,24357,300,0.2,mixed,0.15,0.9,0.1,0.05,0.2,0.1,A,300,0.7,0.5,strict,A113_rtr0.50_pm0.10_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
