algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,4926ae15,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1351.2433333333333,150.96666666666667,,,23714,23714,4926ae15,2,0.006666666666666667,penalized,5,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1411.3466666666666,151.46,,,23714,23714,4926ae15,2,0.006666666666666667,penalized,10,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1365.4433333333334,151.46,,,23714,23714,4926ae15,2,0.006666666666666667,penalized,15,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1109.55,151.46,,,23714,23714,4926ae15,2,0.006666666666666667,penalized,20,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1458.5766666666666,151.46,,,23714,23714,4926ae15,2,0.006666666666666667,penalized,25,23714,23714,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1300.4966666666667,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,30,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1338.81,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,35,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1113.4966666666667,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,40,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1175.3,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,45,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1169.9666666666667,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,50,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1312.5933333333332,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,55,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1319.3666666666666,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,60,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,797.5633333333334,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,65,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1124.6966666666667,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,70,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1134.6966666666667,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,75,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1109.02,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,80,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
ga,1589.31,159.09333333333333,,,24014,24014,4926ae15,2,0.006666666666666667,penalized,85,24014,24014,300,0.2,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A116_rtr0.50_pm0.10_prs0.40_init0.2_pc0.7,2,tournament,0.25,5
