algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,3957.556666666667,3570.616666666667,,,25425,25425,cb61a6f7,2,0.18,penalized,0,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,2001.2666666666667,169.44,,,25425,25425,cb61a6f7,2,0.006666666666666667,penalized,5,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,2086.1633333333334,365.0966666666667,,,25425,25425,cb61a6f7,2,0.02,penalized,10,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,1852.69,354.3566666666667,,,25425,25425,cb61a6f7,2,0.016666666666666666,penalized,15,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,1936.4833333333333,169.44,,,25425,25425,cb61a6f7,2,0.006666666666666667,penalized,20,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,2060.3966666666665,274.37333333333333,,,25425,25425,cb61a6f7,2,0.013333333333333334,penalized,25,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,1467.3866666666668,206.21,,,25425,25425,cb61a6f7,2,0.01,penalized,30,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,1729.9566666666667,204.89,,,25425,25425,cb61a6f7,2,0.01,penalized,35,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,2053.7233333333334,169.44,,,25425,25425,cb61a6f7,2,0.006666666666666667,penalized,40,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
ga,1864.8066666666666,250.90666666666667,,,25425,25425,cb61a6f7,2,0.01,penalized,45,25425,25425,300,1.0,mixed,0.15,0.7,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A118_rtr0.50_pm0.10_prs0.40_init1.0_pc0.7,0,tournament,0.25,5
