algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,03892430,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,398.7033333333333,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,5,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,348.64666666666665,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,10,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,377.8333333333333,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,15,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,264.25333333333333,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,20,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,336.5966666666667,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,25,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,276.02,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,30,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,256.24,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,35,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,350.06,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,40,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,343.85333333333335,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,45,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,317.1333333333333,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,50,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,452.05,220.81,,,23592,23592,03892430,2,0.01,penalized,55,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
ga,274.1566666666667,156.09666666666666,,,23592,23592,03892430,2,0.006666666666666667,penalized,60,23592,23592,300,1.0,mixed,0.15,0.9,0.1,0.05,0.4,0.1,A,300,0.7,0.5,strict,A119_rtr0.50_pm0.10_prs0.40_init1.0_pc0.9,2,tournament,0.25,5
