algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,9cbc123a,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,4991.643333333333,4252.873333333333,,,25965,25965,9cbc123a,2,0.18333333333333332,penalized,5,25965,25965,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,22825.15,20557.31333333333,,,26871,26871,9cbc123a,2,0.7866666666666666,penalized,10,26871,26871,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,23657.023333333334,20617.423333333332,,,27726,27726,9cbc123a,2,0.7533333333333333,penalized,15,27726,27726,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,23518.466666666667,21320.743333333332,,,27986,27986,9cbc123a,2,0.7633333333333333,penalized,20,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24438.25,22668.66,,,27986,27986,9cbc123a,2,0.81,penalized,25,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24330.0,22202.226666666666,,,27986,27986,9cbc123a,2,0.7933333333333333,penalized,30,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,23950.403333333332,22202.226666666666,,,27986,27986,9cbc123a,2,0.7933333333333333,penalized,35,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24533.4,22855.233333333334,,,27986,27986,9cbc123a,2,0.8166666666666667,penalized,40,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24374.423333333332,22482.086666666666,,,27986,27986,9cbc123a,2,0.8033333333333333,penalized,45,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24084.803333333333,22202.226666666666,,,27986,27986,9cbc123a,2,0.7933333333333333,penalized,50,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,23972.79,21809.76,,,27986,27986,9cbc123a,2,0.78,penalized,55,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24499.15,23024.896666666667,,,27986,27986,9cbc123a,2,0.8233333333333334,penalized,60,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,23504.236666666668,21642.506666666668,,,27986,27986,9cbc123a,2,0.7733333333333333,penalized,65,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24311.253333333334,22482.086666666666,,,27986,27986,9cbc123a,2,0.8033333333333333,penalized,70,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
ga,24946.36,23508.24,,,27986,27986,9cbc123a,2,0.84,penalized,75,27986,27986,300,0.2,mixed,0.15,0.7,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A120_rtr0.50_pm0.20_prs0.00_init0.2_pc0.7,1,tournament,0.25,5
