algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,e5c186a6,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,355.3233333333333,335.32666666666665,,,25234,25234,e5c186a6,2,0.013333333333333334,penalized,5,25234,25234,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,606.3966666666666,590.46,,,25359,25359,e5c186a6,2,0.023333333333333334,penalized,10,25359,25359,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,1686.7,1360.02,,,26156,26156,e5c186a6,2,0.05333333333333334,penalized,15,26156,26156,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,19130.713333333333,17118.94,,,26637,26637,e5c186a6,2,0.6633333333333333,penalized,20,26637,26637,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,22534.956666666665,19145.23,,,27375,27375,e5c186a6,2,0.71,penalized,25,27375,27375,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23445.066666666666,20233.896666666667,,,27643,27643,e5c186a6,2,0.7333333333333333,penalized,30,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23597.296666666665,20722.47333333333,,,27643,27643,e5c186a6,2,0.75,penalized,35,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23262.296666666665,21820.16,,,27643,27643,e5c186a6,2,0.79,penalized,40,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24139.793333333335,22638.856666666667,,,27643,27643,e5c186a6,2,0.82,penalized,45,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23616.003333333334,22099.803333333333,,,27643,27643,e5c186a6,2,0.8,penalized,50,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23644.086666666666,21561.54,,,27643,27643,e5c186a6,2,0.78,penalized,55,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23679.846666666668,22022.256666666668,,,27643,27643,e5c186a6,2,0.7966666666666666,penalized,60,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,22901.396666666667,20547.963333333333,,,27643,27643,e5c186a6,2,0.7433333333333333,penalized,65,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,24066.333333333332,22575.116666666665,,,27643,27643,e5c186a6,2,0.8166666666666667,penalized,70,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,22403.056666666667,20087.246666666666,,,27643,27643,e5c186a6,2,0.7266666666666667,penalized,75,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23263.773333333334,21285.11,,,27643,27643,e5c186a6,2,0.77,penalized,80,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
ga,23858.243333333332,21551.553333333333,,,27643,27643,e5c186a6,2,0.78,penalized,85,27643,27643,300,0.2,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A121_rtr0.50_pm0.20_prs0.00_init0.2_pc0.9,1,tournament,0.25,5
