algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,f6ef21fe,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,904.5033333333333,537.43,,,24035,24035,f6ef21fe,2,0.023333333333333334,penalized,5,24035,24035,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,806.0333333333333,804.0633333333334,,,24547,24547,f6ef21fe,2,0.03333333333333333,penalized,10,24547,24547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,7840.663333333333,6842.916666666667,,,25321,25321,f6ef21fe,2,0.28,penalized,15,25321,25321,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,19307.623333333333,14330.45,,,26788,26788,f6ef21fe,2,0.5566666666666666,penalized,20,26788,26788,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,21215.713333333333,17402.72333333333,,,27547,27547,f6ef21fe,2,0.6433333333333333,penalized,25,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,22090.583333333332,19099.253333333334,,,27547,27547,f6ef21fe,2,0.6933333333333334,penalized,30,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,22914.066666666666,20201.133333333335,,,27547,27547,f6ef21fe,2,0.7333333333333333,penalized,35,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,23385.02,21670.306666666667,,,27547,27547,f6ef21fe,2,0.7866666666666666,penalized,40,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,24043.99,21930.796666666665,,,27547,27547,f6ef21fe,2,0.7966666666666666,penalized,45,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,23989.036666666667,22129.423333333332,,,27547,27547,f6ef21fe,2,0.8033333333333333,penalized,50,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,23983.316666666666,21752.706666666665,,,27547,27547,f6ef21fe,2,0.79,penalized,55,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,24765.046666666665,23121.966666666667,,,27547,27547,f6ef21fe,2,0.84,penalized,60,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,23332.1,21670.306666666667,,,27547,27547,f6ef21fe,2,0.7866666666666666,penalized,65,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,24028.453333333335,22305.97333333333,,,27547,27547,f6ef21fe,2,0.81,penalized,70,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,23393.54,21394.836666666666,,,27547,27547,f6ef21fe,2,0.7766666666666666,penalized,75,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,24364.52,22845.796666666665,,,27547,27547,f6ef21fe,2,0.83,penalized,80,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
ga,23835.56333333333,22129.423333333332,,,27547,27547,f6ef21fe,2,0.8033333333333333,penalized,85,27547,27547,300,1.0,mixed,0.15,0.9,0.2,0.05,0.0,0.1,A,300,0.7,0.5,strict,A123_rtr0.50_pm0.20_prs0.00_init1.0_pc0.9,2,tournament,0.25,5
