algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,2e049164,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1028.27,156.6,,,23714,23714,2e049164,2,0.006666666666666667,penalized,5,23714,23714,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1720.0,199.50666666666666,,,23714,23714,2e049164,2,0.01,penalized,10,23714,23714,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1677.39,226.29333333333332,,,23714,23714,2e049164,2,0.01,penalized,15,23714,23714,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1678.1233333333332,156.6,,,23714,23714,2e049164,2,0.006666666666666667,penalized,20,23714,23714,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1708.56,190.4,,,23778,23778,2e049164,2,0.01,penalized,25,23778,23778,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2046.0433333333333,281.03333333333336,,,24743,24743,2e049164,2,0.013333333333333334,penalized,30,24743,24743,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1943.0333333333333,326.25,,,25211,25211,2e049164,2,0.013333333333333334,penalized,35,25211,25211,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1602.1866666666667,166.93,,,25211,25211,2e049164,2,0.006666666666666667,penalized,40,25211,25211,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1955.6166666666666,168.07333333333332,,,25211,25211,2e049164,2,0.006666666666666667,penalized,45,25211,25211,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2206.3933333333334,295.47333333333336,,,25211,25211,2e049164,2,0.013333333333333334,penalized,50,25211,25211,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1801.67,168.07333333333332,,,25211,25211,2e049164,2,0.006666666666666667,penalized,55,25211,25211,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,2411.346666666667,226.87333333333333,,,25211,25211,2e049164,2,0.01,penalized,60,25211,25211,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
ga,1841.9066666666668,168.07333333333332,,,25211,25211,2e049164,2,0.006666666666666667,penalized,65,25211,25211,300,0.2,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A124_rtr0.50_pm0.20_prs0.20_init0.2_pc0.7,2,tournament,0.25,5
