algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,c05f1549,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,279.46,149.88333333333333,,,24896,24896,c05f1549,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,287.45666666666665,149.88333333333333,,,24896,24896,c05f1549,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,305.2033333333333,149.88333333333333,,,24896,24896,c05f1549,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,260.9633333333333,149.88333333333333,,,24896,24896,c05f1549,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,504.56666666666666,82.98666666666666,,,24896,24896,c05f1549,2,0.0033333333333333335,penalized,25,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,343.73333333333335,82.98666666666666,,,24896,24896,c05f1549,2,0.0033333333333333335,penalized,30,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,402.5233333333333,246.46666666666667,,,24896,24896,c05f1549,2,0.01,penalized,35,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,305.22333333333336,165.97333333333333,,,24896,24896,c05f1549,2,0.006666666666666667,penalized,40,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,517.2366666666667,165.97333333333333,,,24896,24896,c05f1549,2,0.006666666666666667,penalized,45,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,330.4633333333333,165.97333333333333,,,24896,24896,c05f1549,2,0.006666666666666667,penalized,50,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,739.5766666666667,247.25333333333333,,,24896,24896,c05f1549,2,0.01,penalized,55,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
ga,365.81666666666666,165.97333333333333,,,24896,24896,c05f1549,2,0.006666666666666667,penalized,60,24896,24896,300,0.2,mixed,0.15,0.9,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A125_rtr0.50_pm0.20_prs0.20_init0.2_pc0.9,1,tournament,0.25,5
