algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,4257.903333333334,3776.3133333333335,,,23592,23592,25e591ee,2,0.2,penalized,0,23592,23592,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1638.3266666666666,160.06333333333333,,,24181,24181,25e591ee,2,0.006666666666666667,penalized,5,24181,24181,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1997.37,198.57666666666665,,,24443,24443,25e591ee,2,0.01,penalized,10,24443,24443,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2021.0133333333333,162.08,,,24443,24443,25e591ee,2,0.006666666666666667,penalized,15,24443,24443,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1688.5433333333333,240.25333333333333,,,24443,24443,25e591ee,2,0.01,penalized,20,24443,24443,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2172.4566666666665,203.11333333333334,,,24443,24443,25e591ee,2,0.01,penalized,25,24443,24443,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1931.1533333333334,162.08,,,24443,24443,25e591ee,2,0.006666666666666667,penalized,30,24443,24443,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2145.3566666666666,244.00666666666666,,,24578,24578,25e591ee,2,0.01,penalized,35,24578,24578,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1904.6133333333332,321.5933333333333,,,24578,24578,25e591ee,2,0.013333333333333334,penalized,40,24578,24578,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,2001.8133333333333,244.88,,,24578,24578,25e591ee,2,0.01,penalized,45,24578,24578,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
ga,1753.0966666666666,163.40333333333334,,,24578,24578,25e591ee,2,0.006666666666666667,penalized,50,24578,24578,300,1.0,mixed,0.15,0.7,0.2,0.05,0.2,0.1,A,300,0.7,0.5,strict,A126_rtr0.50_pm0.20_prs0.20_init1.0_pc0.7,2,tournament,0.25,5
