algo,avg_eval,avg_report,best_eval,best_report,eval_mode,feasible_rate,gen,gen_best_eval,gen_best_report,generations,pop,ratio_to_remove,report_mode,run_id,seed
ga,3287.55,2829.943333333333,24601,24601,penalized,0.16,0,24601,24601,300,300,0.35,strict,cfg1,2
ga,4454.2,2418.87,24736,24736,penalized,0.11,5,24736,24736,300,300,0.35,strict,cfg1,2
ga,9424.233333333334,6398.2266666666665,26049,26049,penalized,0.25666666666666665,10,26049,26049,300,300,0.35,strict,cfg1,2
ga,20343.913333333334,15546.26,26517,26517,penalized,0.6,15,26517,26517,300,300,0.35,strict,cfg1,2
ga,21914.69,18110.696666666667,26517,26517,penalized,0.6833333333333333,20,26517,26517,300,300,0.35,strict,cfg1,2
ga,21534.91,17589.61,26517,26517,penalized,0.6633333333333333,25,26517,26517,300,300,0.35,strict,cfg1,2
ga,21230.85,17236.05,26517,26517,penalized,0.65,30,26517,26517,300,300,0.35,strict,cfg1,2
ga,20785.85,16617.32,26517,26517,penalized,0.6266666666666667,35,26517,26517,300,300,0.35,strict,cfg1,2
ga,20603.333333333332,16175.37,26517,26517,penalized,0.61,40,26517,26517,300,300,0.35,strict,cfg1,2
ga,22033.133333333335,18296.73,26517,26517,penalized,0.69,45,26517,26517,300,300,0.35,strict,cfg1,2
ga,20908.833333333332,16789.26,26517,26517,penalized,0.6333333333333333,50,26517,26517,300,300,0.35,strict,cfg1,2
ga,20788.373333333333,16412.9,26517,26517,penalized,0.62,55,26517,26517,300,300,0.35,strict,cfg1,2
ga,21478.073333333334,17751.216666666667,26517,26517,penalized,0.67,60,26517,26517,300,300,0.35,strict,cfg1,2
ga,21453.23,17625.66,26517,26517,penalized,0.6666666666666666,65,26517,26517,300,300,0.35,strict,cfg1,2
ga,20915.243333333332,16863.403333333332,26517,26517,penalized,0.6366666666666667,70,26517,26517,300,300,0.35,strict,cfg1,2
ga,20824.846666666668,17190.413333333334,26517,26517,penalized,0.65,75,26517,26517,300,300,0.35,strict,cfg1,2
