algo,best_fitness,best_generation,elitism,generations,mode,n_boxes,patience,pcross,pmove,pop,ppres,presence_init,presupport,prot,ratio_to_remove,run_id,seconds,seed,selection,strength,trials,utilization,warehouse,warehouse_volume
random_search,23367,,,,strict,55,,,,,,0.7,,,,,1.8047560000559315,0,,,100,0.545002915451895,"(35, 35, 35)",42875
random_search,22005,,,,strict,55,,,,,,0.7,,,,,1.7941546000074595,1,,,100,0.5132361516034986,"(35, 35, 35)",42875
random_search,21213,,,,strict,55,,,,,,0.7,,,,,1.7225394999841228,2,,,100,0.49476384839650145,"(35, 35, 35)",42875
ga,27162,50,2,300,penalized,55,60,0.7,0.2,300,0.05,0.7,0,0.1,0.1,cfg0,194.76503480004612,0,tournament,0.15,,0.6335160349854227,"(35, 35, 35)",42875
ga,27329,24,2,300,penalized,55,60,0.7,0.2,300,0.05,0.7,0,0.1,0.1,cfg0,154.29942250007298,1,tournament,0.15,,0.6374110787172012,"(35, 35, 35)",42875
ga,27767,16,2,300,penalized,55,60,0.7,0.2,300,0.05,0.7,0,0.1,0.1,cfg0,134.16761020000558,2,tournament,0.15,,0.6476268221574344,"(35, 35, 35)",42875
ga,26817,19,2,300,penalized,55,60,0.7,0.35,300,0.05,0.7,0,0.1,0.35,cfg1,284.98929249995854,0,tournament,0.15,,0.6254693877551021,"(35, 35, 35)",42875
ga,27162,46,2,300,penalized,55,60,0.7,0.35,300,0.05,0.7,0,0.1,0.35,cfg1,399.08765170001425,1,tournament,0.15,,0.6335160349854227,"(35, 35, 35)",42875
ga,26517,15,2,300,penalized,55,60,0.7,0.35,300,0.05,0.7,0,0.1,0.35,cfg1,239.49049240001477,2,tournament,0.15,,0.6184723032069971,"(35, 35, 35)",42875
ga,26817,17,2,300,penalized,55,60,0.7,0.1,300,0.05,0.7,0,0.1,0.1,cfg2,126.3323239000747,0,tournament,0.15,,0.6254693877551021,"(35, 35, 35)",42875
ga,27162,15,2,300,penalized,55,60,0.7,0.1,300,0.05,0.7,0,0.1,0.1,cfg2,133.25076079997234,1,tournament,0.15,,0.6335160349854227,"(35, 35, 35)",42875
ga,26965,15,2,300,penalized,55,60,0.7,0.1,300,0.05,0.7,0,0.1,0.1,cfg2,133.55925519997254,2,tournament,0.15,,0.6289212827988339,"(35, 35, 35)",42875
